Title;Author(s);Year;Master Track;Supervisor;Second reader;Abstract/Summary;Main Research Question;SDG;Justification for SDG;Geographical scope;Scale;Main sector;Keywords;Methodology Type;Specific Methods;Theories;Internship Organization;Organizations Studied;Geographical location standardized;Latitude;Longitude;Location precision;Flag
Transmission Solutions for Floating Photovoltaics with Offshore Wind Energy in the North Sea - A Techno-Economic Analysis;Thomas Rogan;2023;Energy & Materials;Sara Mirbagheri Golroodbari;;The transition towards renewable energy sources in the Netherlands has been driven by the need to meet future energy demands while addressing challenges such as limited land availability. This research conducts a techno-economic analysis to determine the optimal method for energy transmission from offshore floating photovoltaics integrated with offshore wind. The study identifies the 2 GW HVDC VSC transmission system as the best cost-efficient method for transporting energy. The integration of a hydrogen production plant can increase the capacity factor of the hybrid system, although it incurs additional costs. The findings suggest that exploring all available options is essential for enhancing energy security.;What is the optimal method for energy transmission from offshore floating photovoltaics integrated with offshore wind?;7 - Affordable and Clean Energy;This research addresses the need for renewable energy solutions to meet future energy demands, contributing to the goal of ensuring access to affordable, reliable, sustainable, and modern energy for all.;Netherlands;National;Energy & Climate;;Literature-Based Research, Qualitative Empirical Research;Semi-Structured Interviews, Energy Model, Cost Modeling;;;;Netherlands;52.2434979;5.6343227;Country;
Justice in Soil Governance A Critical Discourse Analysis of Stakeholders’ Justice Perspectives Regarding the Proposed EU Soil Health Law;Pia Charlotte Hanson;2023;Earth Systems Governance;Agni Kalfagianni;Tatiana Acevedo Guerrero;"Soils are of critical importance to human societies, as they provide a host of ecosystem services and harbor roughly a quarter to a third of all living things on Earth; soil degradation and biodiversity loss are pressing sustainability issues at both the global and the EU level. This thesis aims to provide a better understanding of stakeholders’ justice perspectives regarding EU soil health policy and how these perspectives may relate to stakeholder coalitions and policy proposals for the EU Soil Health Law proposed in 2022. The research follows principles of critical discourse analysis to analyze statements made by 31 stakeholders regarding EU soil policy. The results indicate that all justice perspectives included in the analysis can be identified in statements made by the stakeholders, with libertarianism and liberal egalitarianism being the most common. The findings illustrate the potential of an analysis of justice perspectives to identify and understand stakeholder coalitions and policy proposals.";;15 - Life on Land;This SDG applies as the thesis addresses soil degradation and biodiversity loss, which are critical issues for terrestrial ecosystems.;European Union;Regional;Ecology & Biodiversity;;Qualitative Empirical Research;Critical discourse analysis;Pluralistic Justice Framework, Advocacy Coalition Framework;;;European Union;42.6795963;23.3214829;Broad;Missing Research Question
Linking action and imagination: How climate court cases open up the public imagination and fuel inspiration;Nina Breedveld;2023;Earth Systems Governance;Dr. Joost Vervoort;Dr. Jeroen Oomen;The 2015 Paris Agreement has given rise to a new trend of climate litigation: strategic climate court cases. Distinct from traditional environmental litigation, these cases aim to bring about broader societal shifts, such as advancing effective climate policies and raising public awareness. This research studies climate court cases as a source of inspiration. A media analysis and 25 in-depth interviews with Dutch and Swiss climate activists revealed that these cases expand the horizons of what people can imagine, thereby opening up new ways of thinking and acting. The study underscores the central role of imagination in transformations, highlighting how it motivates action towards change.;How do climate court cases influence public imagination and inspire action towards climate change?;13 - Climate Action;This research addresses the role of climate court cases in inspiring action and advancing climate policies, directly contributing to the goal of climate action.;Netherlands, Switzerland;Local;Social Justice & Equity;Imagination, imaginaries, emotional energy, climate action, strategic climate court cases;Qualitative Empirical Research;Media analysis, in-depth interviews;;;;Netherlands;52.2434979;5.6343227;Country;
Bridging knowledge between marine conservation actors in Pacific Small Island Developing States: A new perspective on the work of boundary organisations;Moritz Latour;2023;Earth Systems Governance;Dr. Frank van Laerhoven;Prof. Dr. Peter P. J. Driessen;In the face of growing pressures on the marine environment, the significance of evidence-based decision-making in the realm of marine conservation policies is of utmost importance. This thesis aims to improve knowledge uptake in Pacific Small Island Developing States (SIDS) by identifying factors and strategies for successful boundary work. Through interviews with boundary organisations, the study supplements existing literature on boundary organisations and develops a new framework for successful boundary work adapted to the realities in the Global South. The findings highlight the essential role of local communities in bridging the gap between marine science and policy, emphasizing the need for their engagement in the knowledge production and dissemination process.;How can boundary organisations improve knowledge uptake in marine conservation policies in Pacific Small Island Developing States?;14 - Life Below Water;This SDG applies as the research focuses on marine conservation and the importance of evidence-based decision-making in marine policies.;Pacific Small Island Developing States;Global/International;Ecology & Biodiversity;boundary organisations, marine conservation, knowledge exchange, Pacific SIDS, evidence-based decision-making;Qualitative Empirical Research;Interviews;;;;Vanuatu;-16.5255069;168.1069154;Country;
Behavioural shifts of Diadema savignyi and their impact on coral communities around Rapa Nui;Nathan Doorenbos;2023;;Alexandre Génin;;This research investigates the behavioural shifts of the sea urchin Diadema savignyi and their impact on coral communities around Rapa Nui. The study aims to empirically determine these shifts and model their effects on coral and algae cover. Using a cellular automaton model, the research tests the influence of herbivory pressure on coral recruitment and cover. Findings indicate that while increased foraging rates and spatial aggregation of urchins were observed, they did not significantly alter model predictions. However, scenarios where urchins forage on coral recruits showed a decrease in coral cover with increased urchin density, suggesting that human activities may exacerbate the impact of urchin grazing on coral communities.;How do sea urchin foraging behaviour vary with respect to the microhabitat in which they reside in the Rapa Nui coral communities?;14 - Life Below Water;This SDG applies as the research focuses on marine ecosystems, specifically the interactions between sea urchins and coral communities, which are crucial for maintaining biodiversity and ecosystem health.;Rapa Nui;Local;Ecology & Biodiversity;Diadema savignyi, coral communities, Rapa Nui, herbivory, ecosystem dynamics;Mixed Methods Research;Empirical data analysis, Cellular automaton model simulations;;;;Rapa Nui;-27.1259317;-109.3495887;Broad;
DEALING WITH SALINIZATION IN THE NETHERLANDS A GOOD GOVERNANCE CASE?;Ceylan Kats;2023;;Carel Dieperink;;Climate change is putting pressure on freshwater systems across the globe due to increased prevalence of more intense droughts, more extreme weather events and a rising sea-level. This research aimed to provide insights in characteristics of good salinization governance, evaluate the current Dutch salinization governance, and deliver recommendations for addressing bottlenecks within the governance system. An analytical framework was constructed for assessing the effectiveness, equitability, responsiveness, and robustness of the governance system. The results showed that policy documents and stakeholder opinions did not align, indicating a need for better implementation of policy to improve system performance.;;;;Netherlands;National;Governance & Policy;;Qualitative Empirical Research;In-depth interviews, Document analysis;;;;Netherlands;52.2434979;5.6343227;Country;Missing Research Question, Missing SDG, Abstract too short
Assessing the potential for Negative Emission Technologies in Austria;Mara Scheibenreif;2023;Energy & Materials;Martin Junginer;Ernst Worrell;Negative Emission Technologies (NET) are critical for achieving the Paris Agreement goals to limit global warming. This thesis assesses the techno-economic and implementation potential of various NETs in Austria, including Afforestation & Reforestation, Biochar, and Direct Air Carbon Capture. The results indicate a technical potential for negative emissions of 39 Mt CO2 by 2050, with 30 Mt CO2 realizable cost-effectively at a carbon price of 100€ per tonne. The findings can guide policymakers in selecting appropriate NET portfolios for implementation in Austria.;What is the techno-economic and implementation potential for Negative Emission Technologies in Austria?;13 - Climate Action;This research addresses the urgent need for climate action by assessing the potential of Negative Emission Technologies to help Austria achieve its climate neutrality goals.;Austria;National;Energy & Climate;Negative Emission Technologies, Austria, climate neutrality, carbon capture, afforestation;Mixed Methods Research;Literature research, expert interviews, quantitative potential assessment, scenario analysis, Multi-Criteria Analysis;;;;Austria;47.59397;14.12456;Country;Abstract too short
Can the share be fair? A study on the cost-benefit analysis of the redistribution of mitigation costs burden sharing regimes;Juliette van den Brule;2023;Environmental Change and Ecosystems;Kaj van der Wijst;Dr. Oreane Edelenbosch;Mitigation of climate change is the biggest challenge of the 21st century. The Paris Agreement set 2ºC as the threshold not to cross. Integrated Assessment Models have made estimations of the costs associated with climate change as well as those of mitigation. This research examined the effects of various burden sharing regimes on the distribution of mitigation costs and allowances. By looking at GDP per capita, historical emissions, and population shares, this study explores different approaches to fairness. The results indicate that principles of fairness need to be agreed upon by the international community to implement effective mechanisms for emission trading and financing of mitigation.;How can the allocation of estimated costs for climate change mitigation be distributed among regions to ensure an equitable sharing of burdens, whilst preserving economic benefits?;13 - Climate Action;This research addresses the equitable distribution of climate change mitigation costs, which is essential for achieving global climate action goals.;Global;Global/International;Energy & Climate;;Mixed Methods Research;Cost-benefit analysis, Integrated Assessment Models;;;;;;;Broad;
Fostering effective sustainability governance through standards - a comparative analysis of B Corp and ISO14001 certification schemes;Boaz Chemtob;2023;Earth Systems Governance;Agni Kalfagianni;;Sustainability Certification Schemes (SCS) have evolved as a transformative form of social and environmental governance, particularly among private companies. This research aims to assist in navigating desirable SCS to advance sustainable development by understanding which SCS are more effective in fostering sustainability governance. An extensive literature review was conducted to create a theoretical framework for evaluating effective governance conditions. The framework was applied to B Corp and ISO 14001:2015 standards. Findings indicate both standards perform well in terms of effectiveness, but shortcomings exist in addressing stakeholder cost distribution. Future research should explore the complexity of interactions between governance conditions.;What conditions make sustainability certification schemes more effective in fostering sustainability governance among companies?;12 - Responsible Consumption and Production;This SDG applies as the research focuses on sustainability certification schemes that aim to improve corporate sustainability practices and governance.;;;Governance & Policy;Effective Institutional Governance, Sustainable Development, Conditions for Effective Governance, Good-governance Principles, Sustainability Standards, Certification Schemes;Literature-Based Research;;;;B Corp, ISO 14001;;;;Broad;Abstract too short
Active Rewilding in a Novel Ecosystem: Investigating the Impact of Deer Herbivory and Water Level Management on Wetland Vegetation Development;Gabriela J. Carrasco Oliva;2023;Environmental Change and Ecosystems;Dr. Ralph J.M. Temmink, Kerstin Bouma;Dr. Mariska te Beest;Wetlands play a crucial role in providing ecosystem services that contribute to the achievement of the Sustainable Development Goals (SDGs). However, human activities have led to widespread degradation of wetlands over the past three centuries, increasing efforts for wetland restoration. This study investigated the effects of red deer herbivory and artificial water level management on vegetation development during the early stage of ecological succession in Oostvaardersplassen park. Findings demonstrated that deer herbivory adversely affected reed presence and coverage, while herbivory exclusion increased vegetation coverage. Water level fluctuations also influenced vegetation communities. The insights gained are valuable for shaping wetland restoration strategies, contributing to the preservation of wetland ecosystem services.;What are the effects of red deer herbivory and artificial water level management on vegetation development in Oostvaardersplassen park?;15 - Life on Land;This SDG applies as the research focuses on wetland restoration and the impact of herbivory on vegetation, which are critical for maintaining terrestrial ecosystems and biodiversity.;Oostvaardersplassen park, Netherlands;Local;Ecology & Biodiversity;rewilding, herbivory, wetland restoration, vegetation development, Oostvaardersplassen;Qualitative Empirical Research;Exclusion experiment, statistical analyses;;;;Oostvaardersplassen;52.4521333;5.3560037;Broad;
